Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
1.00000000000000e+00	(9.48942814735135e+01dB,-4.36096990060937e+00°)
1.02329299228075e+00	(9.48929033289433e+01dB,-4.47875065446963e+00°)
1.04712854805090e+00	(9.48914599856431e+01dB,-4.59885784603348e+00°)
1.07151930523761e+00	(9.48899484491473e+01dB,-4.72135173518627e+00°)
1.09647819614318e+00	(9.48883655859510e+01dB,-4.84629360601291e+00°)
1.12201845430196e+00	(9.48867081188507e+01dB,-4.97374578324759e+00°)
1.14815362149688e+00	(9.48849726199190e+01dB,-5.10377164700024e+00°)
1.17489755493953e+00	(9.48831555037796e+01dB,-5.23643564709634e+00°)
1.20226443461741e+00	(9.48812530212965e+01dB,-5.37180331708607e+00°)
1.23026877081238e+00	(9.48792612524626e+01dB,-5.50994128715119e+00°)
1.25892541179417e+00	(9.48771760983062e+01dB,-5.65091729566642e+00°)
1.28824955169313e+00	(9.48749932744458e+01dB,-5.79480020099137e+00°)
1.31825673855641e+00	(9.48727083019356e+01dB,-5.94165999065623e+00°)
1.34896288259165e+00	(9.48703164997629e+01dB,-6.09156779062111e+00°)
1.38038426460288e+00	(9.48678129759952e+01dB,-6.24459587257749e+00°)
1.41253754462275e+00	(9.48651926188764e+01dB,-6.40081766000697e+00°)
1.44543977074593e+00	(9.48624500876391e+01dB,-6.56030773275470e+00°)
1.47910838816821e+00	(9.48595798032210e+01dB,-6.72314183011931e+00°)
1.51356124843621e+00	(9.48565759378033e+01dB,-6.88939685152683e+00°)
1.54881661891248e+00	(9.48534324046983e+01dB,-7.05915085574761e+00°)
1.58489319246111e+00	(9.48501428483685e+01dB,-7.23248305843251e+00°)
1.62181009735893e+00	(9.48467006325651e+01dB,-7.40947382615503e+00°)
1.65958690743756e+00	(9.48430988296050e+01dB,-7.59020466921256e+00°)
1.69824365246174e+00	(9.48393302082539e+01dB,-7.77475823094695e+00°)
1.73780082874937e+00	(9.48353872222502e+01dB,-7.96321827511794e+00°)
1.77827941003892e+00	(9.48312619969795e+01dB,-8.15566966891447e+00°)
1.81970085860998e+00	(9.48269463175915e+01dB,-8.35219836436208e+00°)
1.86208713666287e+00	(9.48224316150675e+01dB,-8.55289137470180e+00°)
1.90546071796325e+00	(9.48177089529810e+01dB,-8.75783674803054e+00°)
1.94984459975804e+00	(9.48127690137453e+01dB,-8.96712353684634e+00°)
1.99526231496888e+00	(9.48076020840628e+01dB,-9.18084176292663e+00°)
2.04173794466953e+00	(9.48021980401500e+01dB,-9.39908237779359e+00°)
2.08929613085404e+00	(9.47965463332525e+01dB,-9.62193721905035e+00°)
2.13796208950223e+00	(9.47906359739048e+01dB,-9.84949896066088e+00°)
2.18776162394955e+00	(9.47844555164997e+01dB,-1.00818610584662e+01°)
2.23872113856834e+00	(9.47779930432711e+01dB,-1.03191176896695e+01°)
2.29086765276777e+00	(9.47712361485693e+01dB,-1.05613636869399e+01°)
2.34422881531992e+00	(9.47641719214454e+01dB,-1.08086944643935e+01°)
2.39883291901949e+00	(9.47567869302341e+01dB,-1.10612059395022e+01°)
2.45470891568503e+00	(9.47490672048580e+01dB,-1.13189944453809e+01°)
2.51188643150958e+00	(9.47409982199081e+01dB,-1.15821566366971e+01°)
2.57039578276886e+00	(9.47325648782052e+01dB,-1.18507893885598e+01°)
