Freq.	V(a)
Step Information: Cl=1µ  (Step: 1/2)
1.00000000000000e+00	(6.06994255877515e+01dB,1.79529146141247e+02°)
1.02329299228075e+00	(6.06994091075575e+01dB,1.79516076977872e+02°)
1.04712854805090e+00	(6.06993918393358e+01dB,1.79502751295515e+02°)
1.07151930523761e+00	(6.06993737464679e+01dB,1.79489162033262e+02°)
1.09647819614318e+00	(6.06993547905871e+01dB,1.79475301990772e+02°)
1.12201845430196e+00	(6.06993349314968e+01dB,1.79461163824478e+02°)
1.14815362149688e+00	(6.06993141270860e+01dB,1.79446740043720e+02°)
1.17489755493953e+00	(6.06992923332396e+01dB,1.79432023006803e+02°)
1.20226443461741e+00	(6.06992695037452e+01dB,1.79417004916968e+02°)
1.23026877081238e+00	(6.06992455901952e+01dB,1.79401677818295e+02°)
1.25892541179417e+00	(6.06992205418840e+01dB,1.79386033591512e+02°)
1.28824955169313e+00	(6.06991943057009e+01dB,1.79370063949729e+02°)
1.31825673855641e+00	(6.06991668260175e+01dB,1.79353760434079e+02°)
1.34896288259165e+00	(6.06991380445699e+01dB,1.79337114409275e+02°)
1.38038426460288e+00	(6.06991079003353e+01dB,1.79320117059075e+02°)
1.41253754462275e+00	(6.06990763294027e+01dB,1.79302759381652e+02°)
1.44543977074593e+00	(6.06990432648379e+01dB,1.79285032184872e+02°)
1.47910838816821e+00	(6.06990086365414e+01dB,1.79266926081473e+02°)
1.51356124843621e+00	(6.06989723711003e+01dB,1.79248431484145e+02°)
1.54881661891248e+00	(6.06989343916328e+01dB,1.79229538600506e+02°)
1.58489319246111e+00	(6.06988946176253e+01dB,1.79210237427979e+02°)
1.62181009735893e+00	(6.06988529647624e+01dB,1.79190517748553e+02°)
1.65958690743756e+00	(6.06988093447480e+01dB,1.79170369123447e+02°)
1.69824365246174e+00	(6.06987636651191e+01dB,1.79149780887649e+02°)
1.73780082874937e+00	(6.06987158290496e+01dB,1.79128742144351e+02°)
1.77827941003892e+00	(6.06986657351457e+01dB,1.79107241759264e+02°)
1.81970085860998e+00	(6.06986132772316e+01dB,1.79085268354810e+02°)
1.86208713666287e+00	(6.06985583441248e+01dB,1.79062810304201e+02°)
1.90546071796325e+00	(6.06985008194010e+01dB,1.79039855725381e+02°)
1.94984459975804e+00	(6.06984405811481e+01dB,1.79016392474853e+02°)
1.99526231496888e+00	(6.06983775017082e+01dB,1.78992408141366e+02°)
2.04173794466953e+00	(6.06983114474083e+01dB,1.78967890039480e+02°)
2.08929613085404e+00	(6.06982422782773e+01dB,1.78942825202983e+02°)
2.13796208950223e+00	(6.06981698477508e+01dB,1.78917200378180e+02°)
2.18776162394955e+00	(6.06980940023610e+01dB,1.78891002017037e+02°)
2.23872113856834e+00	(6.06980145814130e+01dB,1.78864216270180e+02°)
2.29086765276777e+00	(6.06979314166452e+01dB,1.78836828979751e+02°)
2.34422881531992e+00	(6.06978443318743e+01dB,1.78808825672110e+02°)
2.39883291901949e+00	(6.06977531426235e+01dB,1.78780191550388e+02°)
2.45470891568503e+00	(6.06976576557329e+01dB,1.78750911486886e+02°)
2.51188643150958e+00	(6.06975576689524e+01dB,1.78720970015309e+02°)
2.57039578276886e+00	(6.06974529705152e+01dB,1.78690351322846e+02°)
2.63026799189538e+00	(6.06973433386907e+01dB,1.78659039242086e+02°)
2.69153480392691e+00	(6.06972285413180e+01dB,1.78627017242760e+02°)
2.75422870333816e+00	(6.06971083353162e+01dB,1.78594268423321e+02°)
2.81838293126445e+00	(6.06969824661721e+01dB,1.78560775502351e+02°)
2.88403150312660e+00	(6.06968506674050e+01dB,1.78526520809783e+02°)
2.95120922666638e+00	(6.06967126600051e+01dB,1.78491486277962e+02°)
3.01995172040201e+00	(6.06965681518465e+01dB,1.78455653432509e+02°)
3.09029543251359e+00	(6.06964168370729e+01dB,1.78419003383007e+02°)
3.16227766016837e+00	(6.06962583954542e+01dB,1.78381516813509e+02°)
3.23593656929628e+00	(6.06960924917137e+01dB,1.78343173972840e+02°)
3.31131121482591e+00	(6.06959187748234e+01dB,1.78303954664725e+02°)
3.38844156139202e+00	(6.06957368772672e+01dB,1.78263838237713e+02°)
3.46736850452531e+00	(6.06955464142689e+01dB,1.78222803574907e+02°)
3.54813389233575e+00	(6.06953469829858e+01dB,1.78180829083495e+02°)
3.63078054770101e+00	(6.06951381616631e+01dB,1.78137892684086e+02°)
3.71535229097172e+00	(6.06949195087507e+01dB,1.78093971799835e+02°)
3.80189396320560e+00	(6.06946905619778e+01dB,1.78049043345366e+02°)
3.89045144994280e+00	(6.06944508373858e+01dB,1.78003083715499e+02°)
3.98107170553496e+00	(6.06941998283154e+01dB,1.77956068773753e+02°)
4.07380277804112e+00	(6.06939370043476e+01dB,1.77907973840650e+02°)
4.16869383470335e+00	(6.06936618101955e+01dB,1.77858773681811e+02°)
4.26579518801592e+00	(6.06933736645449e+01dB,1.77808442495839e+02°)
4.36515832240165e+00	(6.06930719588418e+01dB,1.77756953901982e+02°)
4.46683592150962e+00	(6.06927560560240e+01dB,1.77704280927604e+02°)
4.57088189614874e+00	(6.06924252891940e+01dB,1.77650395995422e+02°)
4.67735141287197e+00	(6.06920789602314e+01dB,1.77595270910555e+02°)
4.78630092322637e+00	(6.06917163383412e+01dB,1.77538876847344e+02°)
4.89778819368445e+00	(6.06913366585364e+01dB,1.77481184335974e+02°)
5.01187233627271e+00	(6.06909391200503e+01dB,1.77422163248886e+02°)
5.12861383991364e+00	(6.06905228846763e+01dB,1.77361782786987e+02°)
5.24807460249771e+00	(6.06900870750332e+01dB,1.77300011465653e+02°)
5.37031796370252e+00	(6.06896307727500e+01dB,1.77236817100541e+02°)
5.49540873857623e+00	(6.06891530165688e+01dB,1.77172166793198e+02°)
5.62341325190348e+00	(6.06886528003620e+01dB,1.77106026916488e+02°)
