Freq.	V(a)
Step Information: Cl=1µ  (Step: 1/2)
1.00000000000000e+02	(6.06997718469382e+01dB,1.79891994353332e+02°)
1.02329299228075e+02	(6.06997714290688e+01dB,1.79889457558455e+02°)
1.04712854805090e+02	(6.06997709912599e+01dB,1.79886862152725e+02°)
1.07151930523761e+02	(6.06997705330852e+01dB,1.79884206760035e+02°)
1.09647819614318e+02	(6.06997700533226e+01dB,1.79881489972478e+02°)
1.12201845430196e+02	(6.06997695505775e+01dB,1.79878710349599e+02°)
1.14815362149688e+02	(6.06997690245385e+01dB,1.79875866417617e+02°)
1.17489755493953e+02	(6.06997684737130e+01dB,1.79872956668663e+02°)
1.20226443461741e+02	(6.06997678965563e+01dB,1.79869979559976e+02°)
1.23026877081238e+02	(6.06997672925986e+01dB,1.79866933513070e+02°)
1.25892541179417e+02	(6.06997666600565e+01dB,1.79863816912918e+02°)
1.28824955169313e+02	(6.06997659974642e+01dB,1.79860628107086e+02°)
1.31825673855641e+02	(6.06997653039190e+01dB,1.79857365404850e+02°)
1.34896288259165e+02	(6.06997645775735e+01dB,1.79854027076316e+02°)
1.38038426460288e+02	(6.06997638170136e+01dB,1.79850611351488e+02°)
1.41253754462275e+02	(6.06997630206269e+01dB,1.79847116419339e+02°)
1.44543977074593e+02	(6.06997621865994e+01dB,1.79843540426848e+02°)
1.47910838816821e+02	(6.06997613135397e+01dB,1.79839881478011e+02°)
1.51356124843621e+02	(6.06997603990944e+01dB,1.79836137632855e+02°)
1.54881661891248e+02	(6.06997594414501e+01dB,1.79832306906386e+02°)
1.58489319246111e+02	(6.06997584390793e+01dB,1.79828387267546e+02°)
1.62181009735893e+02	(6.06997573893545e+01dB,1.79824376638148e+02°)
1.65958690743756e+02	(6.06997562899238e+01dB,1.79820272891762e+02°)
1.69824365246174e+02	(6.06997551387083e+01dB,1.79816073852583e+02°)
1.73780082874937e+02	(6.06997539332666e+01dB,1.79811777294290e+02°)
1.77827941003892e+02	(6.06997526711697e+01dB,1.79807380938859e+02°)
1.81970085860998e+02	(6.06997513493642e+01dB,1.79802882455361e+02°)
1.86208713666287e+02	(6.06997499654248e+01dB,1.79798279458716e+02°)
1.90546071796324e+02	(6.06997485164174e+01dB,1.79793569508439e+02°)
1.94984459975804e+02	(6.06997469986422e+01dB,1.79788750107351e+02°)
1.99526231496888e+02	(6.06997454096350e+01dB,1.79783818700229e+02°)
2.04173794466953e+02	(6.06997437459012e+01dB,1.79778772672481e+02°)
2.08929613085404e+02	(6.06997420032855e+01dB,1.79773609348759e+02°)
2.13796208950223e+02	(6.06997401790988e+01dB,1.79768325991503e+02°)
2.18776162394955e+02	(6.06997382684689e+01dB,1.79762919799552e+02°)
2.23872113856834e+02	(6.06997362680979e+01dB,1.79757387906598e+02°)
2.29086765276777e+02	(6.06997341734945e+01dB,1.79751727379708e+02°)
2.34422881531992e+02	(6.06997319799665e+01dB,1.79745935217758e+02°)
2.39883291901949e+02	(6.06997296832400e+01dB,1.79740008349831e+02°)
2.45470891568503e+02	(6.06997272780693e+01dB,1.79733943633610e+02°)
2.51188643150958e+02	(6.06997247597318e+01dB,1.79727737853690e+02°)
2.57039578276886e+02	(6.06997221225121e+01dB,1.79721387719900e+02°)
2.63026799189538e+02	(6.06997193609445e+01dB,1.79714889865535e+02°)
2.69153480392691e+02	(6.06997164696769e+01dB,1.79708240845576e+02°)
2.75422870333816e+02	(6.06997134418259e+01dB,1.79701437134896e+02°)
2.81838293126445e+02	(6.06997102712239e+01dB,1.79694475126347e+02°)
2.88403150312660e+02	(6.06997069515256e+01dB,1.79687351128865e+02°)
2.95120922666638e+02	(6.06997034749394e+01dB,1.79680061365544e+02°)
3.01995172040201e+02	(6.06996998347232e+01dB,1.79672601971580e+02°)
3.09029543251358e+02	(6.06996960230342e+01dB,1.79664968992267e+02°)
3.16227766016837e+02	(6.06996920316654e+01dB,1.79657158380889e+02°)
3.23593656929628e+02	(6.06996878521550e+01dB,1.79649165996572e+02°)
3.31131121482590e+02	(6.06996834756426e+01dB,1.79640987602093e+02°)
3.38844156139202e+02	(6.06996788927245e+01dB,1.79632618861639e+02°)
3.46736850452531e+02	(6.06996740943127e+01dB,1.79624055338488e+02°)
3.54813389233575e+02	(6.06996690693551e+01dB,1.79615292492717e+02°)
3.63078054770101e+02	(6.06996638077015e+01dB,1.79606325678723e+02°)
3.71535229097172e+02	(6.06996582978203e+01dB,1.79597150142821e+02°)
3.80189396320560e+02	(6.06996525286591e+01dB,1.79587761020677e+02°)
3.89045144994280e+02	(6.06996464874847e+01dB,1.79578153334789e+02°)
3.98107170553496e+02	(6.06996401616156e+01dB,1.79568321991807e+02°)
4.07380277804112e+02	(6.06996335377667e+01dB,1.79558261779845e+02°)
4.16869383470335e+02	(6.06996266010165e+01dB,1.79547967365762e+02°)
4.26579518801592e+02	(6.06996193380411e+01dB,1.79537433292232e+02°)
4.36515832240165e+02	(6.06996117326907e+01dB,1.79526653974993e+02°)
4.46683592150962e+02	(6.06996037687162e+01dB,1.79515623699804e+02°)
4.57088189614874e+02	(6.06995954297373e+01dB,1.79504336619422e+02°)
4.67735141287197e+02	(6.06995866976994e+01dB,1.79492786750554e+02°)
4.78630092322637e+02	(6.06995775540914e+01dB,1.79480967970651e+02°)
4.89778819368445e+02	(6.06995679795290e+01dB,1.79468874014679e+02°)
5.01187233627271e+02	(6.06995579535902e+01dB,1.79456498471811e+02°)
5.12861383991364e+02	(6.06995474552727e+01dB,1.79443834782015e+02°)
5.24807460249771e+02	(6.06995364624471e+01dB,1.79430876232601e+02°)
5.37031796370251e+02	(6.06995249514334e+01dB,1.79417615954687e+02°)
5.49540873857623e+02	(6.06995128979549e+01dB,1.79404046919528e+02°)
5.62341325190348e+02	(6.06995002762099e+01dB,1.79390161934831e+02°)
5.75439937337155e+02	(6.06994870598191e+01dB,1.79375953640916e+02°)
5.88843655355587e+02	(6.06994732208926e+01dB,1.79361414506851e+02°)
6.02559586074356e+02	(6.06994587292146e+01dB,1.79346536826517e+02°)
6.16595001861481e+02	(6.06994435550711e+01dB,1.79331312714398e+02°)
6.30957344480192e+02	(6.06994276656690e+01dB,1.79315734101576e+02°)
6.45654229034654e+02	(6.06994110272015e+01dB,1.79299792731369e+02°)
6.60693448007594e+02	(6.06993936050270e+01dB,1.79283480154958e+02°)
6.76082975391980e+02	(6.06993753618388e+01dB,1.79266787727002e+02°)
6.91830970918935e+02	(6.06993562584659e+01dB,1.79249706601039e+02°)
7.07945784384136e+02	(6.06993362551679e+01dB,1.79232227724742e+02°)
7.24435960074988e+02	(6.06993153092946e+01dB,1.79214341835251e+02°)
7.41310241300916e+02	(6.06992933759462e+01dB,1.79196039454250e+02°)
7.58577575029182e+02	(6.06992704093866e+01dB,1.79177310882883e+02°)
7.76247116628690e+02	(6.06992463605600e+01dB,1.79158146196767e+02°)
7.94328234724279e+02	(6.06992211784930e+01dB,1.79138535240673e+02°)
8.12830516164097e+02	(6.06991948094353e+01dB,1.79118467623217e+02°)
8.31763771102669e+02	(6.06991671983764e+01dB,1.79097932711281e+02°)
8.51138038202374e+02	(6.06991382855399e+01dB,1.79076919624617e+02°)
8.70963589956078e+02	(6.06991080105257e+01dB,1.79055417229849e+02°)
8.91250938133743e+02	(6.06990763086664e+01dB,1.79033414134830e+02°)
