time	V(vo)
0.000000000000000e+00	5.034541e+00
9.999999999999999e-06	5.034541e+00
1.000000010000000e-05	5.034541e+00
1.000000030000000e-05	5.034541e+00
1.000000035000000e-05	5.034541e+00
1.000000045000000e-05	5.034541e+00
1.000000065000000e-05	5.034541e+00
1.000000100000000e-05	5.034541e+00
1.000000104000000e-05	5.034541e+00
1.000000112000000e-05	5.034541e+00
1.000000128000000e-05	5.034541e+00
1.000000160000000e-05	5.034541e+00
1.000000224000000e-05	5.034541e+00
1.000000240000000e-05	5.034541e+00
1.000000272000000e-05	5.034541e+00
1.000000336000000e-05	5.034541e+00
1.000000464000000e-05	5.034541e+00
1.000000719999999e-05	5.034541e+00
1.000001231999999e-05	5.034541e+00
1.000002255999998e-05	5.034541e+00
1.000003548181108e-05	5.034541e+00
1.000005035879636e-05	5.034541e+00
1.000007209502667e-05	5.034541e+00
1.000011083692699e-05	5.034541e+00
1.000018137341265e-05	5.034541e+00
1.000032244638397e-05	5.034541e+00
1.000048847102490e-05	5.034541e+00
1.000072162031707e-05	5.034541e+00
1.000103422931395e-05	5.034541e+00
1.000148295430154e-05	5.034541e+00
1.000213005520377e-05	5.034541e+00
1.000336129541115e-05	5.034541e+00
1.000582377582593e-05	5.034541e+00
1.001010405939395e-05	5.034541e+00
1.001439768637816e-05	5.034542e+00
1.002113486009549e-05	5.034543e+00
1.003441914899145e-05	5.034544e+00
1.005529072229527e-05	5.034547e+00
1.009703386890292e-05	5.034558e+00
1.018046006374758e-05	5.034593e+00
1.026941855866667e-05	5.034653e+00
1.036941855866667e-05	5.034749e+00
1.046941855866667e-05	5.034876e+00
1.056941855866667e-05	5.035032e+00
1.066941855866667e-05	5.035215e+00
1.076941855866667e-05	5.035423e+00
1.086941855866667e-05	5.035655e+00
1.096941855866667e-05	5.035908e+00
1.106941855866667e-05	5.036181e+00
1.126941855866667e-05	5.036780e+00
1.146941855866668e-05	5.037440e+00
1.166941855866668e-05	5.038153e+00
1.196941855866668e-05	5.039302e+00
1.226941855866668e-05	5.040528e+00
1.251227570152383e-05	5.041577e+00
1.275513284438097e-05	5.042644e+00
1.299798998723812e-05	5.043731e+00
1.324084713009526e-05	5.044837e+00
1.348370427295241e-05	5.045962e+00
1.372656141580955e-05	5.047105e+00
1.396941855866669e-05	5.048268e+00
1.445513284438098e-05	5.050610e+00
1.494084713009526e-05	5.052954e+00
1.542656141580955e-05	5.055298e+00
1.591227570152383e-05	5.057644e+00
1.639798998723811e-05	5.059991e+00
1.688370427295240e-05	5.062339e+00
1.736941855866668e-05	5.064688e+00
1.914084713009524e-05	5.073174e+00
2.091227570152379e-05	5.081438e+00
2.268370427295235e-05	5.089481e+00
2.445513284438090e-05	5.097301e+00
2.622656141580946e-05	5.104900e+00
2.799798998723801e-05	5.112276e+00
2.976941855866656e-05	5.119431e+00
3.166941855866661e-05	5.126761e+00
3.356941855866665e-05	5.133757e+00
3.546941855866669e-05	5.140419e+00
3.736941855866674e-05	5.146747e+00
3.926941855866678e-05	5.152740e+00
4.116941855866682e-05	5.158398e+00
4.306941855866686e-05	5.163722e+00
4.554084713009550e-05	5.170095e+00
4.801227570152412e-05	5.176017e+00
5.048370427295276e-05	5.181487e+00
5.295513284438139e-05	5.186505e+00
5.542656141581002e-05	5.191072e+00
5.789798998723866e-05	5.195187e+00
6.036941855866728e-05	5.198850e+00
6.284084713009592e-05	5.202182e+00
6.531227570152455e-05	5.205260e+00
6.778370427295317e-05	5.208084e+00
7.025513284438181e-05	5.210654e+00
7.272656141581044e-05	5.212971e+00
7.519798998723907e-05	5.215033e+00
7.766941855866770e-05	5.216841e+00
7.992656141581060e-05	5.218361e+00
8.218370427295352e-05	5.219771e+00
8.444084713009643e-05	5.221071e+00
8.669798998723935e-05	5.222262e+00
8.895513284438225e-05	5.223342e+00
9.121227570152517e-05	5.224312e+00
9.346941855866808e-05	5.225173e+00
