Qty		Value		Descripción

1		330n		Unpolarized capacitor
1		0.1u		Unpolarized capacitor


12				Jumper, 2-pole, closed/bridged,test point
2		Conn_01x02		Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)


6		BC547		0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92
2		BC557		0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92
1		TIP32A		PNP transistor, base/collector/emitter


1		680		Resistor
1		4k7		Resistor
4		10k		Resistor
2		1Meg		Resistor
4		100		Resistor
1		150		Resistor
1		1k2		Resistor
1		1.8		Resistor
1		2.2		Resistor
2		3k9		Resistor
1		22		Resistor
1		1k		Resistor


1		TL431LP		Shunt Regulator, TO-92
1		LM358		Low-Power, Dual Operational Amplifiers, DIP-8/SOIC-8/TO-99-8
