"Reference","Qty","Value","Footprint"
"J1,J2","2","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal"
"Q1,Q2,Q4,Q6","4","BC547","Package_TO_SOT_THT:TO-92_HandSolder"
"Q3,Q5,Q8,Q9","4","BC557","Package_TO_SOT_THT:TO-92_HandSolder"
"Q7","1","IRFZ46","Package_TO_SOT_THT:TO-220-3_Vertical"
"R1,R3","2","2k","library:resistencia custom pads"
"R2,R4,R9","3","1k","library:resistencia custom pads"
"R5,R7","2","100","library:resistencia custom pads"
"R6","1","470","library:resistencia custom pads"
"R8","1","680","library:resistencia custom pads"
"R10","1","5k6","library:resistencia custom pads"
"R11","1","1","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal"
"R12","1","6k2","library:resistencia custom pads"
"R14","1","DNP","library:resistencia custom pads"
"R15","1","1M","library:resistencia custom pads"
"RV1","1","2k",""
"TP3,TP6","2","TestPoint","Connector_Pin:Pin_D1.1mm_L8.5mm_W2.5mm_FlatFork"
"U1","1","TL431LP","Package_TO_SOT_THT:TO-92_HandSolder"
